dieroll: [3]
dieroll: [6]
dieroll: [5]
dieroll: [6]
dieroll: [3]
dieroll: [6]
dieroll: [3]
dieroll: [6]
dieroll: [1]
dieroll: [6]
dieroll: [4]
dieroll: [5]
dieroll: [1]
dieroll: [1]
dieroll: [5]
dieroll: [6]
dieroll: [1]
dieroll: [6]
dieroll: [5]
NEW SESSION:
dieroll: [5]
dieroll: [6]
dieroll: [6]
dieroll: [6]
dieroll: [4]
dieroll: [5]
dieroll: [4]
dieroll: [3]
NEW SESSION:
dieroll: [6]
dieroll: [6]
dieroll: [4]
dieroll: [4]
dieroll: [2]
dieroll: [3]
dieroll: [1]
dieroll: [4]
dieroll: [4]
NEW SESSION:
dieroll: [4]
dieroll: [5]
dieroll: [3]
dieroll: [3]
dieroll: [5]
NEW SESSION:
dieroll: ([6], [6])
dieroll: ([5], [6])
dieroll: ([5], [6])
dieroll: ([6], [6])
dieroll: ([6], [6])
dieroll: ([4], [6])
NEW SESSION:
dieroll: ([5], [3])
dieroll: ([5], [3])
dieroll: ([5], [4])
dieroll: ([5], [5])
NEW SESSION:2/26/2024 10:28:52 AM
dieroll: ([2], [5])
dieroll: ([6], [5])
dieroll: ([1], [6])
NEW SESSION:2/26/2024 10:29:35 AM
NEW SESSION:2/26/2024 10:29:55 AM
NEW SESSION:2/26/2024 10:31:07 AM
dieroll: ([6], [4])
dieroll: ([6], [6])
dieroll: ([4], [6])
dieroll: ([6], [5])
NEW SESSION:2/26/2024 10:31:42 AM
dieroll: ([5], [3])
dieroll: ([6], [2])
dieroll: ([3], [5])
dieroll: ([2], [4])
dieroll: ([5], [1])
NEW SESSION:2/26/2024 10:40:57 AM
([5], [6])
([6], [5])
([4], [5])
([5], [5])
([6], [5])
NEW SESSION:2/26/2024 10:44:47 AM
([6], [3])
([6], [3])
([3], [3])
NEW SESSION:2/26/2024 10:45:17 AM
([6], [4])
([6], [4])
([4], [4])
([2], [2])
NEW SESSION:2/26/2024 10:48:15 AM
([5], [4])
([4], [6])
([2], [6])
([2], [3])
NEW SESSION:2/26/2024 10:54:03 AM
([1], [2])
([4], [2])
NEW SESSION:2/26/2024 10:55:03 AM
([3], [2])
([1], [6])
NEW SESSION:2/26/2024 10:57:00 AM
([2], [3])
([6], [2])
